2017-11-13 19:06:54.301 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Subscriber\Subscriber\bin\Debug\' with level Info
2017-11-13 19:06:54.850 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-13 19:06:55.019 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPAN\USER 2' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPAN\USER 2" /add
2017-11-13 19:06:55.211 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.248 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.278 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.291 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.309 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.323 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.342 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.359 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.445 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.469 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:06:55.485 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 19:06:55.492 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 19:06:55.502 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 19:12:58.548 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Subscriber\Subscriber\bin\Debug\' with level Info
2017-11-13 19:12:58.858 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-13 19:12:59.076 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.086 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.104 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.114 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.126 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.135 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.147 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.156 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.168 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.183 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-13 19:12:59.193 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 19:12:59.200 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-13 19:12:59.204 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
